Описание;Решение  ;Тех. Решение 
"Добрый день, прошу предоставить доступы новому сотруднику Службы ЦПМ+ Трефилова Элеонора Валерьевна (аналогично доступам Тюриной Дарьи),  роль в МИС Медиалог Коллекции и в МИС Медиолог (старая версия) ""менеджер по персональному обслуживанию Службы ЦПМ+""
<Картинка>";"В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен. Лишние штатные единицы архивированы.
УЗ добавлена в МИС Медиалог
Логин: ETrefilova
Пароль отправлен по СМС на мобильный номер сотрудника";"В продолжение телефонного разговора, дублирую информацию. Доступ предоставлен. Лишние штатные единицы архивированы.

УЗ добавлена в МИС Медиалог
Логин: ETrefilova
Пароль отправлен по СМС на мобильный номер сотрудника"
"При попытке ввода данных для нового пароля форма исчезает на задний план и не доступна
w15-0470-0539
тел. 7066

<Картинка>";В продолжение телефонного разговора, дублирую информацию. Изменение пароля не требуется. Обращение закрываю по согласованию с пользователем.;В продолжение телефонного разговора, дублирую информацию. Изменение пароля не требуется. Обращение закрываю по согласованию с пользователем.
"Часть задач решилась, но сохраняются некоторые проблемы:
- теперь обрезается последний код МКБ сопутствующего заболевания в диагнозе
- пример посмертного эпикриза от 14.04.26 Пац Юшкевич АП (977030) – диагноз в посмертном эпикризе отличался от диагноза в последнем дневнике (формировала Комиссарова) 
 
С уважением,
Середа Виталий Петрович
Заместитель главного врача по терапии
Администрация

Тел.: +7 (812) 620-20-20 доб. 7700
Моб.: +7 (911) 911-40-23

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
vsereda@groupmmc.ru
beloostrov.groupmmc.ru";В продолжение телефонного разговора, дублирую информацию. Ошибка устранена. Получено подтверждение от Муслимовой В.К , данные подгружаются корректно.;"Созвонилась с пользователем. На данный момент на совещании.
Жду звонок от пользователя.

Создан наряд 0000153846 на аналитиков.

22.04 Получен ответ от аналитика
22.04 Созвонилась с пользователем . Ошибка устранена. 

В продолжение телефонного разговора, дублирую информацию. Ошибка устранена. Получено подтверждение от Муслимовой В.К , данные подгружаются корректно."
"Часть задач решилась, но сохраняются некоторые проблемы:
- теперь обрезается последний код МКБ сопутствующего заболевания в диагнозе
- пример посмертного эпикриза от 14.04.26 Пац Юшкевич АП (977030) – диагноз в посмертном эпикризе отличался от диагноза в последнем дневнике (формировала Комиссарова) 
 
С уважением,
Середа Виталий Петрович
Заместитель главного врача по терапии
Администрация

Тел.: +7 (812) 620-20-20 доб. 7700
Моб.: +7 (911) 911-40-23

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
vsereda@groupmmc.ru
beloostrov.groupmmc.ru";В продолжение телефонного разговора, дублирую информацию. Ошибка устранена. Получено подтверждение от Муслимовой В.К , данные подгружаются корректно.;"Получена ОС от инициатора, данные подгружаются корректно.
======================================
22.04.2026: проверка на рабочей МИС
 Сохраняются 2 проблемы: 1) перенос диагноза в выписной / посмертный эпикриз из последней дневниковой записи лечащего врача. 2) Перенос диагноза (ПОЛНОГО!!!) из выписного/посмертного эпикриза на титульный лист мед карты. По второму пункту - типичный пример нереализации сегодня: посмертный эпикриз пац Чернышев 15186347. 

1. Диагнозы переносятся в выписку из последнего дневника - функционал отрабатывает корректно: на daily_cmp: ЭМК  15232094: дневник от 21.04.2026, изменила в нем диаонозы и далее сформировала выписку - все диагнозы перенеслись именно из последнего дневника
<Картинка>
<Картинка>

2. Вывод диагнозов печатные макеты: в работе
Тестирование на рабочей МИС:
слева ""выписной эпикриз"", справа - тит лист... не хватает ((
<Картинка>
слева Стат карта - справа ТИт лист, снова не сходится
<Картинка>

справа - тит лист (сформированные и сохраненный через Макеты, так как переподтвердить запись на РБ я не могу)
<Картинка>

Тестирование на daily_cmp
слева - тит лист, справа - диагноз (окончание сопутствующего) в выписке (на ЭФ Эпикриз) - и они не сходятся...
<Картинка>
отрабатывает корректно:
15:13 Перенос на рабочую базу
тестирование на РБ: отрабатывает корректно

=======================================================================
21.04.2026: наряд 0000153981 ""Сбой или ошибка"" со средним приоритетом

=====================
1. Макет Выписной эпикриз: Сочетанные заболевания - нет кода МКБ так как он не выставлен в ""Диагнозах"" в соответствующем поле, остальные диагнозы отображаются корректно:
<Картинка>

2. Макет ""Титульный лист"": подмакет ""5 - Обход - Данные""
QUERY('{DIAGNOS_HOSP}', 'DIAGNOS')

Не корректно отображается диагноз в титульном листе, в стат карте указан корректно

макет Стат карта
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 2 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 5}
<Картинка>
<Картинка>"
"Часть задач решилась, но сохраняются некоторые проблемы:
- теперь обрезается последний код МКБ сопутствующего заболевания в диагнозе
- пример посмертного эпикриза от 14.04.26 Пац Юшкевич АП (977030) – диагноз в посмертном эпикризе отличался от диагноза в последнем дневнике (формировала Комиссарова) 
 
С уважением,
Середа Виталий Петрович
Заместитель главного врача по терапии
Администрация

Тел.: +7 (812) 620-20-20 доб. 7700
Моб.: +7 (911) 911-40-23

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
vsereda@groupmmc.ru
beloostrov.groupmmc.ru";В продолжение телефонного разговора, дублирую информацию. Ошибка устранена. Получено подтверждение от Муслимовой В.К , данные подгружаются корректно.;"В макете ""003/у Титульный лист 530н (v3)"" (17775), внес изменения:

1) в подмакет ""1 - Данные 1"" в раздел ""Предварительный диагноз (диагноз при поступлении)"" для полей:

- Основное заболевание
БЫЛО:
IF(
isnull({@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}),
{@Диагноз при поступлении для титульника.Диагноз при поступлении}+' '+ LOOK('CIM10','CODE',{@Диагноз при поступлении для титульника.Код диагноза при поступлении},''),
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
)
{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
СТАЛО:
IF(LEN({@Диагноз RTF при поступлении - основное.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF при поступлении - основное.Выражение},'', '\par') + '}','')
/*
if(isnull({@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0}),
{@Стационар - Диагнозы текущей госпитализации основные.Диагноз},
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0})
*/
/*if(isnull({@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0}),
{@Стационар - Диагнозы текущей госпитализации основные.Код},
{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 0})
*/''
- Конкурирующее заболевание
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 4 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 4 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
СТАЛО:
IF(LEN({@Диагноз RTF при поступлении - конкурирующее.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF при поступлении - конкурирующее.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 4}
*/
/*{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 4}
*/''
- Осложнения основного заболевания
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 1 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 1 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
СТАЛО:
IF(LEN({@Диагноз RTF при поступлении - осложнение.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF при поступлении - осложнение.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 1}
*/
/*{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 1}
*/''
- Внешняя причина при травмах, отравлениях
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации при поступлении.Внешняя причина травмы|{@Стационар - Диагнозы текущей госпитализации при поступлении.Внешняя причина травмы} > 0 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
СТАЛО:
/*{@Стационар - Диагнозы текущей госпитализации при поступлении.Внешняя причина травмы|{@Стационар - Диагнозы текущей госпитализации при поступлении.Внешняя причина травмы} > 0}
*/''
- Сопутствующие заболевания
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2 and {@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}
СТАЛО:
IF(LEN({@Диагноз RTF при поступлении - сопутствующее.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF при поступлении - сопутствующее.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2}
*/
/*{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2}
*/''
- Дополнительные сведения о заболевании
БЫЛО:
IF(isnull({@Стационар - Диагнозы текущей госпитализации при поступлении.Дополнительные сведения о заболевании|{@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2}),'-',{@Стационар - Диагнозы текущей госпитализации при поступлении.Дополнительные сведения о заболевании|{@Стационар - Диагнозы текущей госпитализации при поступлении.Классификация}=2})
СТАЛО:
{@Доп сведения диагноза при поступлении.Дополнительные сведения о заболевании}
/*
{@Стационар - Диагнозы текущей госпитализации при поступлении.Заключение|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2}
*/
2) в подмакет ""5 - Обход - Данные"" для полей

- Диагноз основного заболевания
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 0 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 0 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
СТАЛО:
IF(LEN({@Диагноз RTF заключительный клинический - основное.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF заключительный клинический - основное.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 0 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/
/*
{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 0 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/''
- Конкурирующее заболевание
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 4 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 4 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
СТАЛО:
IF(LEN({@Диагноз RTF заключительный клинический - конкурирующее.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF заключительный клинический - конкурирующее.Выражение},'', '\par') + '}','')
/*{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 4 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/
/*{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 4 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/''
- Диагноз осложнений
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 1 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 1 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
СТАЛО:
IF(LEN({@Диагноз RTF заключительный клинический - осложнение.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF заключительный клинический - осложнение.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 1 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/
/*{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 1 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/''
- Внешняя причина при травмах, отравлениях
БЫЛО:
{@Стационар - Диагнозы текущей госпитализации все.Внешняя причина травмы|{@Стационар - Диагнозы текущей госпитализации все.Внешняя причина травмы} > 0 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
СТАЛО:
/*{@Стационар - Диагнозы текущей госпитализации все.Внешняя причина травмы|{@Стационар - Диагнозы текущей госпитализации все.Внешняя причина травмы} > 0 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/''
- Диагноз сопутствующих заболеваний
БЫЛО:
IF(LEN({@Диагноз RTF при поступлении - сопутствующее.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF при поступлении - сопутствующее.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации при поступлении.Диагноз|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2}
*/
/*{@Стационар - Диагнозы текущей госпитализации при поступлении.Код|{@Стационар - Диагнозы текущей госпитализации при поступлении.Вид заболевания} = 2}
*/''
СТАЛО:
IF(LEN({@Диагноз RTF заключительный клинический - сопутствующее.Выражение}) > 0,
asstring('{\rtf1{\fonttbl{\f0\ql\fnil Arial;}}') + DSTOTEXT({@Диагноз RTF заключительный клинический - сопутствующее.Выражение},'', '\par') + '}','')
/*
{@Стационар - Диагнозы текущей госпитализации все.Диагноз|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 2 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/
/*{@Стационар - Диагнозы текущей госпитализации все.Код|{@Стационар - Диагнозы текущей госпитализации все.Вид заболевания} = 2 AND {@Стационар - Диагнозы текущей госпитализации все.Классификация} = 3}
*/''
- Дополнительные сведения о заболевании
БЫЛО:
IF(isnull({Эпикриз.Динамика состояния}),'-', SetFont({Эпикриз.Динамика состояния},'Arial','11'))
СТАЛО:
PLAINTEXT({@Стационар - Выписной эпикриз.Динамика состояния})"
"Часть задач решилась, но сохраняются некоторые проблемы:
- теперь обрезается последний код МКБ сопутствующего заболевания в диагнозе
- пример посмертного эпикриза от 14.04.26 Пац Юшкевич АП (977030) – диагноз в посмертном эпикризе отличался от диагноза в последнем дневнике (формировала Комиссарова) 
 
С уважением,
Середа Виталий Петрович
Заместитель главного врача по терапии
Администрация

Тел.: +7 (812) 620-20-20 доб. 7700
Моб.: +7 (911) 911-40-23

ООО «ММЦ ВТ»
188640, Ленинградская область, м.р-н Всеволожский,                     
с.п. Юкковское, тер. «Клиника «Белоостров», зд. 1

<Картинка>
vsereda@groupmmc.ru
beloostrov.groupmmc.ru";В продолжение телефонного разговора, дублирую информацию. Ошибка устранена. Получено подтверждение от Муслимовой В.К , данные подгружаются корректно.;17.04.2026 наряд передан на Титову Л. в связи с отпуском
Здравствуйте. Прошу удалить запись в ЭМК 330963 ( Тюрин А.А.). от 10.03.2026 в  10.33. Спасибо.;В рамках обращения доступ предоставлен.;В рамках обращения доступ предоставлен.
"добрый день!
5Е офтальмология

в медиалоге не удается разместить пациентку Воробьёву Алевтину Григорьевну ЭМК (15229463)
менеджеры тоже не могут

постовая м/с Хахалева Е.Р. 89502273326";В продолжение телефонного разговора, дублирую информацию. Пациент успешно размещен.;"Дата в размещение не корректная. Изменена дата и отвязана койка. Пациент размещен.

В продолжение телефонного разговора, дублирую информацию. Пациент успешно размещен."
пропала запись осмотр лечащего врача  при создании осмотра, пропала запись -дневниковая запись при создании дневника.Не подтягиваются сопутствующие диагнозы при редактировании диагноза в выписке;"В продолжение телефонного разговора, дублирую информацию. Закрываю обращение, как дубль. Работы ведутся в рамках обращения 0000155367. 
Вы добавлены в список оповещаемых лиц в главном обращении.";"Жду информация от пользователя.
направлено письмо.

В продолжение телефонного разговора, дублирую информацию. Закрываю обращение, как дубль. Работы ведутся в рамках обращения 0000155367. 
Вы добавлены в список оповещаемых лиц в главном обращении."
"Требуется добавить нового сотрудника в Медиалог. Обращение на прием 155635

Юридическое лицо: РН-СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ООО
ФИО сотрудника на русском: Филипушко Виктория Леонидовна
ФИО сотрудника на английском: Viktoria Filipushko

СНИЛС: 043-155-921 35
Дата рождения: 16.01.1971

Должность: Медицинская сестра 
Специальность по ТФОМС: Сестринское дело
Код специальности по ТФОМС: 219
Подразделение: Амбулаторно-поликлиническое отделение
Руководитель ФИО: Гераськина Наталия Борисовна
Руководитель позиции ФИО: Оразмагомедова Эльвира Вячеславовна
Руководитель позиции Должность: Заведующий амбулаторно-поликлиническим отделением-врач-терапевт / Амбулаторно-поликлиническое отделение
 
Мобильный телефон: +7 (960) 000-50-96

Дата выхода на работу: 16 апреля 2026 г.";"УЗ добавлена в МИС Медиалог
Логин: vfilipushko
Пароль отправлен по СМС на мобильный номер сотрудника";"УЗ добавлена в МИС Медиалог
Логин: vfilipushko
Пароль отправлен по СМС на мобильный номер сотрудника"
"Требуется доступ в Медиалог
Юридическое лицо: РН-СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ООО
ФИО сотрудника на русском: Андреева Анна Сергеевна
СНИЛС: 131-546-454 39
Должность: Врач-педиатр
Дата рождения: 13.04.1990
Специальность по ТФОМС: Педиатрия
Код специальности по ТФОМС: 49
Подразделение: Амбулаторно-поликлиническое отделение
Руководитель ФИО: Гераськина Наталия Борисовна
Руководитель позиции ФИО: Оразмагомедова Эльвира Вячеславовна
Руководитель позиции Должность: Заведующий амбулаторно-поликлиническим отделением-врач-терапевт / Амбулаторно-поликлиническое отделение
Учетная запись пользователя компьютера (Active Directory): 
Электронный адрес: 
Мобильный телефон: +7(987)321-43-19

Дата выхода на работу: 16 апреля 2026 г.
GUID: fe411747-3961-11f1-a6b2-8cfa998493f7";"УЗ добавлена в МИС Медиалог
Логин: ASAndreeva
Пароль отправлен по СМС на мобильный номер сотрудника";"УЗ добавлена в МИС Медиалог
Логин: ASAndreeva 
Пароль отправлен по СМС на мобильный номер сотрудника"
"Отсутствует тип записи поликлинника-детский стоматолог
тел 7691";"В продолжение телефонного разговора, дублирую информацию. Созвонилась с Крыловым А.А. Тип записи  ""Педиатрия - Стоматолог-терапевт"" переименован в ""Поликлиника - Врач-стоматолог детский"".  Добавлена обязательность цифровой подписи.";"!7.04 Не дозвонилась до заведующего
20.04 Необходимо связаться с заведующим

Необходимо согласовать макет с пользователем 27.04
Согласовано с пользователем."
"Отсутствует тип записи поликлинника-детский стоматолог
тел 7691";"В продолжение телефонного разговора, дублирую информацию. Созвонилась с Крыловым А.А. Тип записи  ""Педиатрия - Стоматолог-терапевт"" переименован в ""Поликлиника - Врач-стоматолог детский"".  Добавлена обязательность цифровой подписи.";"В МИС уже существуют типы записей детские для стоматологии, см. ниже
<Картинка>"
"Отсутствует тип записи поликлинника-детский стоматолог
тел 7691";"В продолжение телефонного разговора, дублирую информацию. Созвонилась с Крыловым А.А. Тип записи  ""Педиатрия - Стоматолог-терапевт"" переименован в ""Поликлиника - Врач-стоматолог детский"".  Добавлена обязательность цифровой подписи.";Отправлено на согласование.
"Отсутствует тип записи поликлинника-детский стоматолог
тел 7691";"В продолжение телефонного разговора, дублирую информацию. Созвонилась с Крыловым А.А. Тип записи  ""Педиатрия - Стоматолог-терапевт"" переименован в ""Поликлиника - Врач-стоматолог детский"".  Добавлена обязательность цифровой подписи.";"Выполнены изменения на рабочей базе, необходим перезапуск МИС.

1. переименование ""Педиатрия - Стоматолог-терапевт"" в ""Поликлиника - Врач-стоматолог детский"": старые записи, офомленные ранее (по отчету записей первая запись создана 16.04.2026г.) так же сменили название.
      AMB
Поликлиника
<Картинка>
2. Добавлена обязательность цифрвой подписи:
IF(RTPARAMExtFld('PMT_ECP_REQUEST',_bit),1,0)
3. Скрыта ЭФ ""Шкалы"":
IF(RTPARAMExtFld('PMT_ECP_REQUEST',_bit),1,0)
     
4. Переименование типа записи в старых созданных записях:
до изменения:
<Картинка>
после изменения:
<Картинка>"
"Отсутствует тип записи поликлинника-детский стоматолог
тел 7691";"В продолжение телефонного разговора, дублирую информацию. Созвонилась с Крыловым А.А. Тип записи  ""Педиатрия - Стоматолог-терапевт"" переименован в ""Поликлиника - Врач-стоматолог детский"".  Добавлена обязательность цифровой подписи.";"24.04.2026: возможна реализация в рамках ЗНО (в рамках наряда), трудозатраты 3 часа.
Прошу так же уточнить у инициатора по печатному макету.
Тестовая реализация выполнена на daily_cmp: можно показать инициатору
1. переименование ""Педиатрия - стоматолог терапевт"" в ""Поликлиника - Врач-стоматолог детский"": старые записи, офомленные ранее (по отчету записей первая запись создана 16.04.2026г.) так же сменили название.
<Картинка>
      
2. Добавлена обязательность цифрвой подписи:
<Картинка>
      
3. Скрыта ЭФ ""Шкалы"":
<Картинка>
     
21.04.2026: Необходимы уточнения: инициатору не подходит только название записи ""Педиатрия - стоматолог терапевт"" или содержимое тоже? Если необходимо менять и содержимое типа записи, то необходимо уточнения что подходит/не подходит/добавить/скрыть"
"Не корректно отображается диагноз в титульном листе, в стат карте указан корректно
тел 89817124132";"В продолжение телефонного разговора, дублирую информацию. Закрываю обращение, как дубль. Работы ведутся в рамках обращения 0000155367. 
Вы добавлены в список оповещаемых лиц в главном обращении.";"В продолжение телефонного разговора, дублирую информацию. Закрываю обращение, как дубль. Работы ведутся в рамках обращения 0000155367. 
Вы добавлены в список оповещаемых лиц в главном обращении."
"Прошу предоставить права для создания записи прошедшим числом, так как на момент внесения записи 09 апреля был указан некорректный вид учётной записи (врач-стоматолог терапевт), поскольку в базе отсутствовал нужный вид учётной записи (врач-стоматолог детский).  Данная запись была мною удалена, необходимо создать новую.
7691";В продолжение телефонного разговора, дублирую информацию. Запись создана. Закрываю обращение по согласованию с пользователем.;"Созвонилась с пользователем на данный момент не на рабочем месте.
Созвон запланирован на 23.04

В продолжение телефонного разговора, дублирую информацию. Запись создана. Закрываю обращение по согласованию с пользователем."
"Прошу предоставить права для создания записи прошедшим числом, так как на момент внесения записи 09 апреля был указан некорректный вид учётной записи (врач-стоматолог терапевт), поскольку в базе отсутствовал нужный вид учётной записи (врач-стоматолог детский).  Данная запись была мною удалена, необходимо создать новую.
7691";В продолжение телефонного разговора, дублирую информацию. Запись создана. Закрываю обращение по согласованию с пользователем.;Ошибочно созданный наряд
